"sample_id","genotype","NR_AUDPS_BV","NR_AUDPS_BV_group","NR_AUDPS_raw","NR_AUDPS_raw_group","DNB_AUDPS_BV","DNB_AUDPS_BV_group","DNB_AUDPS_raw","DNB_AUDPS_raw_group","DBH23","change_in_branches","classification","population","family"
"T2_7002","7002","1.23775082","Susceptible","-6.766666666","Susceptible","1.40669132","Average","56.66666667","Susceptible","14.8","TRUE","Central Atlantic","GE","GE9"
"T2_7025","7025","-0.54431172","Average","-10.26666667","Average","-0.57304072","Average","12.93333333","Resistant","12.41","FALSE","Central Atlantic","BW","BW2"
"T2_7053","7053","1.81861478","Susceptible","-5.633333334","Susceptible","-0.29538596","Average","23.86666667","Average","7.8","FALSE","Central Atlantic","GE","GE9"
"T2_7055","7055","2.81686649","Susceptible","-2.233333334","Susceptible","-1.29797532","Average","27.6","Average","6.53","FALSE","Cairngorms","BB","BB2"
"T2_7069","7069","2.58648566","Susceptible","-3.933333334","Susceptible","10.51531153","Susceptible","95.73333334","Susceptible","6.84","FALSE","Hyper-oceanic","BE","BE2"
"T2_7072","7072","-1.78122733","Resistant","-15.86666667","Resistant","-7.99935756","Resistant","15.93333333","Average","16.55","FALSE","Hyper-oceanic","CG","CG2"
"T2_7078","7078","-2.57383485","Resistant","-16.23333333","Resistant","1.98022077","Average","42.53333333","Average","16.87","FALSE","Central Atlantic","GC","GC2"
"T2_7085","7085","-0.62011794","Average","-11.05","Average","4.30987914","Susceptible","46.86666667","Susceptible","15.76","FALSE","Central Atlantic","GC","GC1"
"T2_7115","7115","0.56218801","Average","-9.516666668","Average","5.84387649","Susceptible","52.93333333","Susceptible","14.16","TRUE","Cairngorms","RM","RM3"
"T2_7128","7128","-0.1564793","Average","-8.866666666","Average","-2.2158158","Average","11.8","Resistant","14.96","TRUE","Central Atlantic","GC","GC1"
"T2_7143","7143","-0.739345","Average","-12.8","Resistant","-0.76093101","Average","37.73333334","Average","14.16","FALSE","Hyper-oceanic","CR","CR4"
"T2_7148","7148","-1.18217533","Resistant","-14","Resistant","-3.50673114","Resistant","15.86666667","Average","14.8","FALSE","Hyper-oceanic","CG","CG2"
"T2_7154","7154","-0.5604155","Average","-12.4","Resistant","-1.60414846","Average","18.13333333","Average","13.37","FALSE","Hyper-oceanic","CR","CR7"
"T2_7156","7156","1.95896512","Susceptible","-4.733333334","Susceptible","4.52924348","Susceptible","48.53333333","Susceptible","14.64","TRUE","Hyper-oceanic","BE","BE3"
"T2_7183","7183","-0.66897154","Average","-13.1","Resistant","-0.34699096","Average","29.4","Average","13.62","TRUE","Hyper-oceanic","CR","CR7"
"T2_7197","7197","0.63776973","Average","-9.483333334","Average","-6.57454895","Resistant","12.93333333","Resistant","14.48","FALSE","Hyper-oceanic","CG","CG7"
"T2_7208","7208","-0.86665645","Average","-13.23333333","Resistant","-3.52320311","Resistant","16","Average","14.8","FALSE","Hyper-oceanic","CG","CG2"
"T2_7211","7211","-1.75858123","Resistant","-15.93333333","Resistant","-5.65086585","Resistant","5.4","Resistant","15.28","TRUE","Hyper-oceanic","CR","CR4"
"T2_7237","7237","2.14761031","Susceptible","-4.6","Susceptible","1.03535303","Average","38.4","Average","8.91","FALSE","Hyper-oceanic","BE","BE3"
